City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,karratha,-20.7377,116.8463,27.420000000000016,35,94,6.86,AU,1712606473
67,kogalym,62.2654,74.4791,-3.339999999999975,97,100,3.13,RU,1712606473
68,ust-tsilma,65.441,52.1498,-13.25,96,99,1.86,RU,1712606473
69,isafjordur,66.0755,-23.124,-3.5399999999999636,89,96,9.46,IS,1712606474
70,egilsstadir,65.2653,-14.3948,0.9500000000000455,93,100,6.69,IS,1712606474
71,shetpe,44.1667,52.1167,11.700000000000045,55,42,2.01,KZ,1712606474
72,mastic beach,40.7668,-72.8521,17.100000000000023,55,0,4.92,US,1712606474
73,yellowknife,62.456,-114.3525,4.1200000000000045,74,75,5.14,CA,1712606312
74,dauphin,51.1494,-100.0502,9.080000000000041,53,0,3.6,CA,1712606474
75,undurkhaan,47.3194,110.6556,3.930000000000007,46,100,0.57,MN,1712606474
76,yakeshi,49.2833,120.7333,-15.060000000000002,90,11,1.53,CN,1712606475
77,vorgashor,67.5833,63.95,-23.99999999999997,100,48,2.07,RU,1712606475
78,wailua homesteads,22.0669,-159.378,24.439999999999998,74,75,6.69,US,1712605945
79,lethem,3.3803,-59.7968,35.59000000000003,33,26,5.6,GY,1712606475
80,fale old settlement,-9.3852,-171.2468,29.890000000000043,76,100,5.9,TK,1712606475
81,esmeraldas,-19.7625,-44.3139,27.58000000000004,73,97,1.95,BR,1712606458
82,sitka,57.0531,-135.33,4.939999999999998,75,75,2.06,US,1712606237
83,carnarvon,-24.8667,113.6333,26.29000000000002,31,0,8.39,AU,1712606475
84,west island,-12.1568,96.8225,27.99000000000001,74,75,4.63,CC,1712606476
85,yuzhno-kurilsk,44.0306,145.8556,6.32000000000005,97,100,1.63,RU,1712606476
86,the pas,53.8251,-101.2541,11.010000000000048,40,0,3.09,CA,1712606476
87,yonan-up,37.9089,126.1611,9.300000000000011,49,0,6.97,KP,1712606476
88,muana,-1.5283,-49.2167,27.83000000000004,88,100,1.82,BR,1712606476
89,general conesa,-40.1,-64.4333,27.02000000000004,27,100,9.82,AR,1712606476
90,bredasdorp,-34.5322,20.0403,15.879999999999995,95,100,7.31,ZA,1712606476
91,praia da vitoria,38.7333,-27.0667,18.140000000000043,88,40,4.89,PT,1712606477
92,tawau,4.2498,117.8871,25.07000000000005,100,95,0.89,MY,1712606477
93,kailua-kona,19.6406,-155.9956,26.27000000000004,75,75,2.57,US,1712606351
94,sant antoni de portmany,38.9807,1.3036,17.83000000000004,87,20,4.63,ES,1712606479
95,papatowai,-46.5619,169.4708,12.720000000000027,93,100,3.74,NZ,1712606479
96,ushuaia,-54.8,-68.3,3.7900000000000205,81,75,8.75,AR,1712605709
97,uturoa,-16.7333,-151.4333,29.189999999999998,77,86,6.18,PF,1712606479
98,petropavlovsk-kamchatsky,53.0452,158.6483,2.4700000000000273,82,75,1.0,RU,1712606479
99,amtala,22.3714,88.2944,25.970000000000027,44,100,2.75,IN,1712606479
100,labrador city,52.9463,-66.9114,-0.45999999999997954,49,100,7.2,CA,1712606414
101,plymouth,41.8334,-70.8328,18.900000000000034,33,0,3.09,US,1712606263
102,batangafo,7.3008,18.2833,27.110000000000014,50,8,1.83,CF,1712606479
103,fairfield,41.2668,-73.3162,18.160000000000025,34,100,3.09,US,1712606438
104,hilo,19.7297,-155.09,21.25,91,100,2.06,US,1712606375
105,novooleksiyivka,46.2269,34.6428,13.950000000000045,45,34,3.0,UA,1712606480
106,puerto ayora,-0.7393,-90.3518,31.980000000000018,78,24,3.99,EC,1712606480
107,cajabamba,-7.6167,-78.05,19.650000000000034,58,98,1.13,PE,1712606480
108,alupka,44.4167,34.05,13.580000000000041,59,4,4.93,UA,1712606481
109,nishinoomote,30.7333,131.0,18.760000000000048,90,74,6.4,JP,1712606481
110,ulaangom,49.9811,92.0667,-0.9499999999999886,97,100,0.31,MN,1712606481
111,benghazi,32.1167,20.0667,17.460000000000036,59,0,8.02,LY,1712606424
112,luderitz,-26.6481,15.1594,15.980000000000018,90,52,1.75,NA,1712606438
113,tindouf,27.6711,-8.1474,30.25,25,0,6.17,DZ,1712606481
114,thai nguyen,21.5928,105.8442,20.879999999999995,88,100,1.11,VN,1712606481
115,serres,41.0856,23.5497,13.560000000000002,69,6,0.2,GR,1712606481
116,mermoz boabab,14.7065,-17.4758,22.310000000000002,73,0,6.17,SN,1712606481
117,hadibu,12.65,54.0333,26.939999999999998,79,99,2.22,YE,1712606482
118,neryungri,56.6709,124.6491,-22.119999999999976,100,97,1.39,RU,1712605930
119,ust-nera,64.5667,143.2,-16.079999999999984,98,99,1.49,RU,1712606482
120,constitucion,-35.3333,-72.4167,18.730000000000018,68,19,7.23,CL,1712606417
121,newberry,34.2746,-81.6187,24.100000000000023,49,0,4.21,US,1712606482
122,ganshui,28.7422,106.7111,18.160000000000025,88,100,0.94,CN,1712606482
123,vadso,70.0744,29.7487,-1.9099999999999682,86,75,6.17,NO,1712606395
124,hithadhoo,-0.6,73.0833,29.400000000000034,71,98,2.49,MV,1712605898
125,laguna,38.421,-121.4238,21.83000000000004,37,0,5.14,US,1712606237
126,dali,25.7,100.1833,12.840000000000032,77,0,2.32,CN,1712606482
127,ayr,55.4627,-4.6339,8.990000000000009,93,75,2.06,GB,1712606482
128,kokstad,-30.5472,29.4241,13.430000000000007,94,74,1.45,ZA,1712606483
129,ulladulla,-35.35,150.4667,15.640000000000043,83,100,3.82,AU,1712606483
130,porto novo,6.4965,2.6036,27.900000000000034,77,100,3.94,BJ,1712606483
131,san julian,21.0167,-102.1667,29.210000000000036,10,3,7.4,MX,1712606483
132,motygino,58.1831,94.7592,-12.339999999999975,97,78,1.79,RU,1712606483
133,ibresi,55.2961,47.0394,10.470000000000027,82,100,3.72,RU,1712606483
134,anadyr,64.75,177.4833,-16.71999999999997,84,0,7.0,RU,1712606221
135,nantucket,41.2835,-70.0995,11.160000000000025,55,61,7.23,US,1712606483
136,yinchuan,38.4681,106.2731,13.870000000000005,42,14,0.37,CN,1712606253
137,fort bragg,35.139,-79.006,24.0,40,0,4.12,US,1712605908
138,sisimiut,66.9395,-53.6735,-3.9899999999999523,77,74,3.2,GL,1712606483
139,pacific grove,36.6177,-121.9166,19.660000000000025,67,0,4.92,US,1712606194
140,brookings,44.3114,-96.7984,6.210000000000036,96,100,3.6,US,1712606386
141,lulea,65.5842,22.1547,-1.9599999999999795,100,0,1.54,SE,1712606399
142,leh,34.1667,77.5833,-14.839999999999975,47,1,2.99,IN,1712606484
143,keflavik,64.0049,-22.5624,3.9500000000000455,69,0,8.23,IS,1712606300
144,verkhotur'ye,58.8627,60.8054,0.7000000000000455,98,99,3.02,RU,1712606484
145,mossel bay,-34.1831,22.146,17.960000000000036,95,100,1.91,ZA,1712606484
146,waddan,29.1614,16.139,21.370000000000005,31,4,6.53,LY,1712606484
147,primorsko-akhtarsk,46.0497,38.1747,13.510000000000048,62,3,4.53,RU,1712606485
148,kirensk,57.7853,108.1119,-12.579999999999984,99,79,1.45,RU,1712606485
149,chonchi,-42.6128,-73.8092,12.29000000000002,70,91,2.57,CL,1712606355
150,pimentel,-6.8367,-79.9342,29.160000000000025,54,0,6.69,PE,1712606485
151,novyye burasy,52.1324,46.0714,9.810000000000002,86,43,3.05,RU,1712606486
